ProductID,ProductName,Ratings,Inventory,Price,Discounted_Price,Country
7274,Book:Eclipse,5,23,87,78.3,Germany
99,Book:Passat,4.1,63,31,27.9,Germany
78268,Book:Thunderbird,2,67,42,37.8,Germany
421,Book:Range Rover Sport,2,159,57,51.3,Germany
604,Book:SLS-Class,4.1,130,38,34.2,Germany
9671,Book:NSX,2,109,51,45.9,Germany
2831,Book:F-Series,1,41,44,39.6,Germany
25604,Book:Aero 8,3.5,10,2,1.8,Germany
49,Book:Amanti,5,0,85,76.5,Germany
12,Book:XT,3.5,100,36,32.4,Germany
131,Book:300ZX,5,130,87,78.3,UK
148,Book:Cougar,1,111,16,14.4,UK
3748,Book:Loyale,3.5,54,21,18.9,UK
7507,Book:MR2,4.1,0,61,54.9,UK
B0009N5L7K,Motorola I265 phone,2,22,72,64.8,UK
B000SKTZ0S,MOTOROLA C168i AT&T CINGULAR PREPAID GOPHONE CELL PHONE,4.1,127,68,61.2,UK
B001AO4OUC,Motorola i335 Cell Phone Boost Mobile,4.1,164,58,52.2,UK
B001DCJAJG,Motorola V365 no contract cellular phone AT&T,2,159,31,27.9,UK
B001GQ3DJM,Nokia 1680 Black Phone (T-Mobile),2,170,96,86.4,UK
B0029F2O3A,"Samsung Alias2 U750 Phone, Black (Verizon Wireless)",2,49,61,54.9,UK
B002AS9WEA,Samsung a167 Prepaid GoPhone (AT&T),2,36,33,29.7,UK
B002UHS0UI,Verizon Wireless Motorola RAZR V3m - Silver,4.1,106,100,90,UK
B002WTC1NG,Motorola Barrage V860 Phone (Verizon Wireless),1,111,6,5.4,UK
B0033SFV5A,Verizon or PagePlus Samsung Smooth U350 Great Condition Blue CDMA Cell Phone,2,103,71,63.9,UK
B003FCO9XE,Samsung Smooth Verizon Wireless Prepaid Mobile Cell Camera Phone CDMA,2,44,57,51.3,UK
B003P2VNAQ,"Samsung Rugby II, Black (AT&T)",2,79,60,54,UK
B003W646YK,Motorola i570 Nextel iDen PTT rugged black cell phone,5,142,22,19.8,UK
B003XREZ4O,"Samsung Gusto, Black (Verizon Wireless)",5,186,79,71.1,UK
B0046REOWS,Samsung T201G Prepaid Phone (Net10),4.1,121,89,80.1,UK
B004C7NVD0,Samsung Convoy SCH-U640 Cell Phone Ruggedized PTT 2+ megapixel Camera for Verizon,1,198,63,56.7,UK
B004GLQTG8,Samsung R355C Net 10 Unlimited,2,145,36,32.4,UK
B004H23JXW,"Samsung Focus I917 Unlocked Phone with Windows 7 OS, 5 MP Camera, and Wi-Fi--No Warranty (Black)",1,5,53,47.7,UK
B004MK9VLS,Nokia C3 Prepaid GoPhone (AT&T) with $30 Airtime Credit,5,87,49,44.1,UK
B004YBP8EY,Samsung SA-S5260WESP Cellphone - Unlocked Phone - US Warranty - White,2,191,5,4.5,UK
B005B3OXWC,Samsung Freeform III Prepaid Phone (MetroPCS),2,163,45,40.5,UK
B006OU39QW,Verizon Samsung Convoy U660 No Contract Rugged PTT Cell Phone Grey Verizon,4.1,56,46,41.4,UK
B006VH79R8,Samsung Replenish Prepaid Android Phone (Boost Mobile),3.5,44,44,39.6,UK
B00727AODC,"Samsung Focus Flash I677 8GB Unlocked GSM Phone with Windows 7.5 OS, 5MP Camera, GPS, Wi-Fi, Bluetooth and FM Radio - Black",5,36,74,66.6,UK
B007LU0HU0,Samsung Replenish SPH-M580 Blue No Contract Sprint Cell Phone,3.5,178,3,2.7,UK
B007X6FFLS,Samsung a157 GoPhone (AT&T),4.1,61,76,68.4,UK
B0081TDISI,Motorola Brute i686 Rugged PTT For Sprint,3.5,91,96,86.4,UK
B00836Y6B2,Nokia Lumia 900 Black Factory Unlocked,4.1,194,34,30.6,UK
B008PAW5EQ,"Samsung U365 Gusto 2 Prepaid Phone (Verizon Wireless, Prepaid)",3.5,170,16,14.4,UK
B0096DERAG,Motorola MC75A Hand Held Computer Windows Mobile 6.5 MC75A8-PYFSWQRA9WR,2,25,26,23.4,UK
B0096QYH80,"Motorola Droid RAZR M XT907 Verizon Wireless, 8GB, White",4.1,143,12,10.8,UK
B009LRMQTG,Telcel America Motorola Pre-Paid Cell Phone - Motogo! EX431G - Black,4.1,43,17,15.3,UK
B00A2V7BA4,"Nokia Lumia 920, Black 32GB (AT&T)",3.5,52,41,36.9,UK
B00A2V7ULY,"Nokia Lumia 920, Yellow 32GB (AT&T)",1,7,72,64.8,UK
B00A408AF8,"Samsung Galaxy Express, Gray 8GB (AT&T)",2,199,49,44.1,UK
B00A7F57EM,Nokia Lumia 822 16GB Windows Phone Black - Verizon,5,181,63,56.7,UK
B00A7F5M9W,"Nokia Lumia 822, White 16GB (Verizon Wireless)",5,94,87,78.3,UK
B00ACZ0DUA,Nokia Lumia 920 32GB Unlocked GSM Windows 8 Smartphone w/ Carl Zeiss Optics Camera - Yellow,5,164,16,14.4,UK
B00B5081MI,"Samsung A157 Unlocked GSM Cell Phone with Internet Browser, 3G Capabilities, SMS & MMS and Speakerphone - Black",2,45,20,18,UK
B00BV1MVJ0,"Samsung Galaxy S4 GT-I9500 Factory Unlocked Cellphone, 16GB, White",4.1,131,64,57.6,UK
B00CEKXJ3Y,"Samsung Galaxy S4, Black Mist 16GB (Sprint)",3.5,114,32,28.8,UK
B00CEKXZA6,"Samsung Galaxy S4, White Frost 16GB (Sprint)",1,172,87,78.3,UK
B00CGIULGC,Samsung Galaxy Rugby Pro 4G LTE I547 Unlocked Android Ruggedized Smart Phone,2,83,5,4.5,UK
B00CQAODG4,"Nokia Lumia 928, White 32GB (Verizon Wireless)",1,77,52,46.8,UK
B00CS2ZWKQ,Nokia Lumia 925 (RM-893) 4G LTE Windows 8 Smartphone GSM Unlocked,5,64,12,10.8,UK
B00D35Z6OE,Huawei Glory Android Prepaid Phone (Net10),5,106,9,8.1,UK
B00D99ZBR6,Samsung Galaxy Prevail II (Boost Mobile) (Discontinued by Manufacturer),2,88,55,49.5,UK
B00E45043A,Nokia Lumia 520 (AT&T Go Phone) No Annual Contract (Discontinued by Manufacturer),3.5,104,42,37.8,UK
B00E6FGSHY,"Samsung Galaxy S4, White Frost 16GB (AT&T)",1,108,81,72.9,UK
B00E8TGT1S,Nokia Lumia 520 Quad-Band GSM Unlocked Smartphone - Blue,2,107,64,57.6,UK
B00EP2BN00,"Samsung Convoy 3, Gray (Verizon Wireless)",2,17,62,55.8,UK
B00F1HVZ0Q,Samsung Galaxy S4 M919 16GB T-Mobile 4G LTE Smartphone - Black Mist,3.5,172,59,53.1,UK
B00F2SKPIM,"Samsung Galaxy Note 3, Black 32GB (Verizon Wireless)",4.1,26,71,63.9,UK
B00F3JPKCG,"Nokia Lumia 925, Black 16GB (AT&T)",3.5,5,28,25.2,UK
B00F9RRVUG,Samsung a157V (AT&T Go Phone) No Annual Contract,4.1,167,33,29.7,UK
B00FTV382C,"SAMSUNG GALAXY NOTE 3 , T-Mobile (locked) white",5,38,31,27.9,UK
B00G9G0HTI,"Samsung ATIV S Neo I187 (16GB, 1GB RAM) 4.77"" Display | Dual Camera | 2,000 mAh Battery | Windows 8.1 SmartPhone | 4G LTE | GSM Unlocked | Royal Blue",1,122,10,9,UK
B00HE5834Y,Motorola Droid Ultra XT1080 16GB 4G LTE Android Smartphone W/ 10MP Camera - Black,2,78,28,25.2,UK
B00HPP3QD6,Moto G - Verizon Prepaid Phone (Verizon Prepaid Only),3.5,65,63,56.7,UK
B00HWEMZ1E,"Nokia Lumia Icon, Black 32GB (Verizon Wireless)",4.1,52,63,56.7,UK
B00I2KY5TM,Nokia Lumia 928 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - White,4.1,11,72,64.8,UK
B00IZ1X21K,"Samsung Galaxy S5, G900P 16GB White - Sprint",3.5,193,27,24.3,UK
B00JEHJMG8,Samsung Galaxy S4 16GB SPH-L720 4G LTE Android - Sprint (Blue),3.5,27,28,25.2,UK
B00JH2WF0K,"Samsung Gusto 3, Dark Blue, Verizon Wireless",3.5,140,95,85.5,UK
B00JH2WPO6,"Samsung ATIV SE, Silver 16GB (Verizon Wireless)",2,25,99,89.1,UK
B00JS73V2U,"Motorola DROID MAXX, Black 16GB (Verizon Wireless)",2,3,23,20.7,UK
B00JYR6GGM,"Samsung Gusto 3, Royal Navy Blue (Verizon Wireless Prepaid) - Discontinued by Manufacturer",5,129,52,46.8,UK
B00K0NS0P4,"Motorola Moto G (1st Generation) Unlocked Cellphone, 8GB, White",5,145,34,30.6,UK
B00KM10ITK,Nokia Lumia 635 8GB Unlocked GSM 4G LTE Windows 8.1 Quad-Core Phone - Black,1,188,53,47.7,UK
B00LAEA84S,Samsung Galaxy S5 G900V Verizon 4G LTE Smartphone w/ 16MP Camera - Black - Verizon,3.5,46,96,86.4,UK
B00LIYEMTC,Sony Xperia Z2 - Unlocked (White),4.1,57,83,74.7,UK
B00MWI4HW0,"Motorola Moto G (2nd generation) Unlocked Cellphone, 8GB, Black",3.5,179,77,69.3,UK
B00MWI4KKE,"Motorola Moto X (2nd generation) XT1097 GSM Unlocked Cellphone, 16GB, Black Soft Touch",4.1,51,17,15.3,UK
B00N532A34,"Samsung Galaxy Alpha, Frosted Gold 32GB (AT&T)",5,26,79,71.1,UK
B00N532DU4,"Samsung Galaxy Mega 2, Brown Black 16GB (AT&T)",2,11,56,50.4,UK
B00NKR9MJA,"Samsung Galaxy Note 4, Frosted White 32GB (Sprint)",1,102,81,72.9,UK
B00NKRE7MW,"Samsung Galaxy Note 4, Frosted White 32GB (Verizon Wireless)",5,84,73,65.7,UK
B00NO2WXM4,"Motorola Moto X - 2nd Generation, Black Resin 16GB (Verizon Wireless)",5,86,43,38.7,UK
B00O15MWOM,Nokia Lumia 530 White - No Contract (T-Mobile),3.5,0,23,20.7,UK
B00O2ALRNS,"Samsung Galaxy S4 SGH-I337 USA GSM Unlocked Cellphone, 16GB, Frost White",3.5,182,26,23.4,UK
B00O2SW2IY,Verizon 4G LTE Moto Luge by Motorola Prepaid Smartphone,2,149,3,2.7,UK
B00OEK6TWU,Samsung Galaxy Note 3 N900A 32GB Unlocked GSM Octa-Core Smartphone w/ 13MP Camera - Black,1,184,66,59.4,UK
B00OZTSY6Y,"Motorola DROID Turbo XT1254, Black Ballistic Nylon 32GB (Verizon Wireless)",3.5,31,40,36,UK
B00PLBFPAS,"Nokia Lumia 630 Windows Prepaid SmartPhone, Carrier Locked to Cricket Wireless, No Contract",5,116,73,65.7,UK
B00QFZOYFG,Samsung Solstice II A817 Touch Screen (AT&T) No Contract,1,172,17,15.3,UK
B00QHJTOK0,Samsung Galaxy Centura SCH-S738C - (Net10),1,96,71,63.9,Germany
B00SIB3HS0,Samsung Galaxy S4 M919 16GB Unlocked GSM 4G LTE Quad-Core Smartphone - White Frost,4.1,3,18,16.2,Germany
B00TFAVFL4,"Motorola Moto E (2nd Generation) Locked Cellphone, Black",3.5,80,83,74.7,Germany
B00TRLXO6U,Nokia Lumia 928 32GB Unlocked GSM 4G LTE Windows Smartphone w/ 8MP Carl Zeiss Optics Camera - Black,5,183,71,63.9,Germany
B00V7FXCZ2,"Samsung Galaxy S6, Black Sapphire 32GB (Verizon Wireless)",4.1,71,40,36,Germany
B00V7FY44A,"Samsung Galaxy S6 Edge, White Pearl 32GB (Verizon Wireless)",3.5,179,82,73.8,Germany
B00V8STWY8,"Apple iPad Air MF529LL/A (32GB, Wi-Fi + at&T, White with Silver) (Renewed)",1,99,11,9.9,Germany
B00VH2TWBS,Samsung GALAXY S6 G920 32GB Unlocked GSM 4G LTE Octa-Core Smartphone - Black Sapphire,4.1,113,9,8.1,Germany
B00VQQ294C,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed),1,115,3,2.7,Germany
B00WF988BW,Samsung Convoy 3 SCH-U680 Rugged 3G Cell Phone Verizon Wireless,2,72,27,24.3,Germany
B00WHE2WCG,Samsung Galaxy S6 G920A 32GB Unlocked GSM 4G LTE Octa-Core Android Smartphone with 16MP Camera - Black Sapphire,3.5,66,66,59.4,Germany
B00WIYFBWI,Samsung Galaxy S6 Edge G925F 32GB Unlocked Phone - Retail Packaging - Black Sapphire,2,86,77,69.3,Germany
B00X2ZQ5RM,Samsung Galaxy S6 32GB G920A AT&T Unlocked - Gold Platinum,1,55,39,35.1,Germany
B00XQVDW6Y,Motorola Moto E LTE - No Contract Phone (U.S. Cellular),1,163,72,64.8,Germany
B00ZE8HRYK,"Samsung Galaxy S6 Active, 32 GB , Grey (AT&T)",5,103,63,56.7,Germany
B010CK8O9Q,"Sony Xperia Z3 Plus E6533 32GB Black 3G/4G, Dual SIM Unlocked Factory 4G LTE - International Version No Warranty",3.5,154,92,82.8,Germany
B010V43VFA,Sony Experia Z3+ 4G LTE Unlocked 32GB Octa Core 3GB RAM E6553 (LTE USA Latin Caribbean Europe) Waterproof 23 MP No Warranty (White),2,2,74,66.6,Germany
B011AC4U7A,Samsung Galaxy S6 G920T 32GB Unlocked GSM 4G LTE Octa-Core Android Smartphone w/ 16MP Camera - Black,4.1,176,11,9.9,Germany
B0134TVNSQ,"Samsung Galaxy S6 Edge+, Black 64GB (Sprint)",3.5,135,24,21.6,Germany
B013XAPUW6,"Samsung Galaxy Note 5, Black  64GB (Verizon Wireless)",1,85,17,15.3,Germany
B014GCG150,"Samsung Galaxy J5 SM-J500H/DS GSM Factory Unlocked Smartphone, International Version (Gold)",3.5,23,5,4.5,Germany
B014V5XDV2,Samsung Galaxy S6 G920v 32GB Verizon Wireless CDMA Smartphone - Gold Platinum (Renewed),3.5,177,98,88.2,Germany
B014VLTTC8,Samsung Galaxy Mega 6.3 I527 16GB Unlocked GSM 4G LTE Smartphone w/ 8MP Camera - White,3.5,141,91,81.9,Germany
B015ROR4PC,Motorola Droid Turbo - 32GB Android Smartphone - Verizon - Gray (Renewed),2,144,6,5.4,Germany
B016WYTYFE,Samsung Galaxy S5 SM-G900T - 16GB - Shimmery White Smart Phone - Unlocked (Renewed),5,77,70,63,Germany
B0172EEAQQ,"Nokia 105 RM-1135 Dual-Band (850/1900 MHz) Factory Unlocked Mobile Phone, Black, 2G Network Only.",4.1,47,29,26.1,Germany
B018OMP8ES,Samsung Galaxy Note 5 SM-N920V Gold 32GB (Verizon Wireless),4.1,5,5,4.5,Germany
B018TUJE9U,Samsung Galaxy S6 G920A 64GB Unlocked GSM 4G LTE Octa-Core Android Smartphone w/ 16MP Camera - White,2,45,65,58.5,Germany
B0192XJ0P6,"Motorola XT1585 Turbo 2, (32GB) 5.4'' (White, Verizon)",2,89,57,51.3,Germany
B019S654DO,Samsung Galaxy S4 16GB Black SPH-L720T Tri-Band (Boost Mobile),5,177,14,12.6,Germany
B019TWO7DU,"Huawei Nexus 6P unlocked smartphone, 64GB Gold (US Warranty)",4.1,56,66,59.4,Germany
B019VHBB32,Motorola Droid Turbo 2 XT1585 32GB - Verizon (Black),5,119,16,14.4,Germany
B01ATTBXY8,Motorola Droid Turbo - 32GB Android Smartphone - Verizon - Black (Renewed),4.1,91,91,81.9,Germany
B01AUOS8BI,"Apple iPhone 6S Plus, 128GB, Rose Gold - For AT&T / T-Mobile (Renewed)",5,35,53,47.7,Germany
B01BG1MW5C,Samsung Galaxy Note 5 SM-N920T 32GB Black Smartphone for T-Mobile,3.5,180,20,18,Germany
B01BHEBDVW,Motorola Droid Maxx 2 XT1565 16 GB Verizon Phone w/ 21 MP Rear Camera - White,5,51,29,26.1,Germany
B01BLSX96G,Samsung Galaxy Grand Prime Prepaid Smartphone Family Mobile Powered by T-Mobile,4.1,52,33,29.7,Germany
B01CJ3SCJ6,Samsung Galaxy S7 32GB Unlocked (Verizon Wireless) - Gold,5,49,100,90,Germany
B01CJ3SCN2,"Samsung Galaxy S7, Black 32GB (Verizon Wireless)",2,198,13,11.7,Germany
B01CJ3SF02,"Samsung Galaxy GS7 Edge, Gold 32GB (Verizon Wireless)",4.1,9,71,63.9,Germany
B01CN1RZY2,Samsung Galaxy Note 5 SM-N920T 64gb - Unlocked Cellphone GSM - Platinum Gold (T - Mobile),1,158,3,2.7,Germany
B01CP4CGBE,"Samsung Galaxy GS7 Edge, Gold 32GB (Sprint)",1,41,56,50.4,Germany
B01CP4CGSC,"Samsung Galaxy S7, G930P Gold 32GB (Sprint)",3.5,104,95,85.5,Germany
B01CU22RL0,Samsung Galaxy S7 Edge Smartphone - GSM Unlocked - 32 GB - No Warranty - Black,3.5,7,12,10.8,Germany
B01CYYYRNK,"Samsung Galaxy S7 SM-G930A AT&T Unlocked Smartphone, (Black Onyx)",5,159,84,75.6,Germany
B01D0JV7AO,Samsung Galaxy S6 SM-G920V 32GB Sapphire Black Smartphone for Verizon (Renewed),2,138,53,47.7,Germany
B01D0JXCKW,Samsung Galaxy S6 SM-G920V 32GB Gold Smartphone for Verizon (Renewed),4.1,95,18,16.2,Germany
B01D1J9BGU,Samsung Galaxy S7 Edge G935FD 32GB Unlocked GSM 4G LTE,1,92,58,52.2,Germany
B01D4Z97UG,Samsung Galaxy S6 SM-G920A 32GB Unlocked GSM 4G LTE Octa-Core Smartphone w/ 16MP Camera - White (Renewed),1,82,9,8.1,Germany
B01D53A7KG,Samsung Galaxy S6 SM-G920A 32GB White Smartphone for AT&T (Renewed),2,35,23,20.7,Germany
B01DL9TVW4,"Samsung Galaxy S5 G900A Factory Unlocked Cellphone, Android 16GB, Gold",5,158,42,37.8,Germany
B01DUPOOMG,Samsung Galaxy S6 G920P 32GB Black Boost Mobile Smartphone,1,53,9,8.1,Germany
B01DZ2CS4U,Samsung Galaxy S7 32GB G930V Unlocked - Black,5,125,39,35.1,Germany
B01DZJFWNC,Moto G Plus (4th Gen.) Unlocked - Black - 64GB - U.S. Warranty,4.1,35,85,76.5,Germany
B01DZJFWWS,Moto G (4th Gen.) Unlocked - Black - 32GB,5,134,33,29.7,Germany
B01E7FK14S,"Samsung Galaxy J3 Express Prime 2 SM-J327A 4G LTE 7.0 Nougat 5"" Smartphone (AT&T) - Black",4.1,164,47,42.3,Germany
B01EIVMETG,Samsung Galaxy J1 Mini 8GB J106H/DS Dual Sim Unlocked Phone - Retail Packaging- Black,5,56,89,80.1,Germany
B01EWKHIAI,Microsoft Lumia 950 32GB Dual Sim NAM RM-1118 GSM Factory Unlocked - US Warranty (Black),4.1,27,95,85.5,Germany
B01F5FYXNO,"Samsung Galaxy J3, Verizon LTE Prepaid (Black)",2,91,85,76.5,Germany
B01FCFZS3G,Samsung Galaxy S7 Edge G935A 32GB AT&T - Black Onyx,5,8,8,7.2,Germany
B01FIW1B9S,Samsung Galaxy S7 G930T 32GB T-Mobile - Black,5,111,96,86.4,Germany
B01FJT7E3M,"Sony Xperia XA Ultra (F3213) 4G LTE Unlocked GSM Phone w/ 6” Borderless Display, 21.5MP+16MP Cameras, Octa-Core CPU - White",2,6,31,27.9,Germany
B01FJT7MZC,Sony Xperia X Performance F8131 32GB Unlocked GSM LTE Android Phone w/ 23MP Camera - Black,5,200,72,64.8,Germany
B01FJT7N4W,Sony Xperia X F5121 32GB GSM 23MP Camera Phone - Graphite Black,5,143,51,45.9,Germany
B01GP2XIJQ,Samsung Galaxy Amp 2 - Cricket,2,37,9,8.1,Germany
B01GXAT0CE,"Apple iPhone SE, 16GB, Rose Gold - For AT&T / T-Mobile (Renewed)",1,53,79,71.1,Germany
B01H93TCCM,Samsung Galaxy S7 Active SM-G891A 32GB Sandy Gold No-Contract AT&T,1,3,3,2.7,Germany
B01HFJR6NW,Motorola Droid MAXX XT1080M 16GB Black Verizon and GSM Unlocked (Certified Refurbished),5,124,97,87.3,Germany
B01HFK15BU,Samsung Galaxy S6 G920V 32GB Verizon 4G LTE Smartphone W/ 16MP Camera - White,5,119,38,34.2,Germany
B01HFLRS38,Motorola Droid MAXX XT1080M 16GB Red Verizon and GSM Unlocked (Renewed),4.1,185,80,72,Germany
B01HTZ4T8C,"Samsung Galaxy S7 G930V 32GB, Verizon, Black Onyx, Unlocked Smartphones (Renewed)",4.1,84,88,79.2,Germany
B01I0HP1Z8,Samsung Galaxy S6 G920T Unlocked GSM 4G LTE Smartphone w/ 16MP Camera - White Pearl,4.1,155,51,45.9,Germany
B01I8V0MJQ,Samsung Galaxy S7 32GB T-Mobile - Gold Platinum,1,98,83,74.7,Germany
B01INV912A,motorola G4 16GB Smartphone,3.5,111,81,72.9,Germany
B01J63O3KY,"Samsung GS6 5.1"" Certified Pre-Owned Carrier Locked Phone - 32GB - White (Verizon)",4.1,55,14,12.6,Germany
B01J63ODA4,"Samsung Galaxy S6 (Verizon) Certified Pre-Owned Prepaid Carrier Locked, White",5,178,72,64.8,Germany
B01JAWWVXW,"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",2,72,34,30.6,Germany
B01K5R3GXK,Motorola DROID Turbo XT1254 32GB Verizon Black Ballistic Nylon (Renewed),5,75,16,14.4,Germany
B01K5RGPIS,Samsung Galaxy S6 G920A 64GB Unlocked GSM 4G LTE Octa-Core Android Smartphone with 16MP Camera - Black Sapphire,1,48,65,58.5,Germany
B01L9D7J00,Samsung Convoy 4 B690 Rugged Water-Resistant Verizon Flip Phone w/ 5MP Camera - Blue,3.5,163,87,78.3,Germany
B01LEL8ABY,"Moto Z GSM Unlocked Smartphone, 5.5"" Quad HD screen, 64GB storage, 5.2mm thin - Black",1,67,59,53.1,Germany
B01LXF0WML,"Sony Xperia XZ F8332 64GB Forest Blue, 5.2"", Dual Sim, GSM Unlocked International Model, No Warranty",3.5,115,22,19.8,Germany
B01LY3OB8D,Google Pixel XL Phone 32GB - 5.5 inch display ( Factory Unlocked US Version ) (Very Silver),1,41,82,73.8,Germany
B01LYHIUQ7,"Apple iPhone 6S, 32GB, Silver - For AT&T / T-Mobile (Renewed)",5,130,37,33.3,Germany
B01LZXT34U,Samsung Galaxy S6 Edge Plus SM-G928T 32GB for T-Mobile (Renewed),4.1,109,17,15.3,Germany
B01M01YX15,"Google Pixel Phone - 5 inch display (Factory Unlocked US Version) (32GB, Quite Black)",3.5,190,78,70.2,Germany
B01M0PADR4,"Google Pixel XL G2PW210032GBBK Factory Unlocked Smartphone, 32GB, 5.5-Inch Display - U.S. Version (Quite Black)",4.1,152,3,2.7,Germany
B01M1CT4PT,Google Pixel XL Phone 32GB - 5.5 inch display (Factory Unlocked US Version) (Really Blue),3.5,79,95,85.5,Germany
B01M1HY1E3,Sony Xperia XZ F8331 32GB Unlocked GSM 4G LTE Phone w/ 23MP Camera - Mineral Black,5,168,45,40.5,Germany
B01M59QP6C,Samsung Galaxy Note 5 SM-N920V 32GB White Smartphone for Verizon (Renewed),3.5,104,63,56.7,Germany
B01M6X8SDM,Huawei Honor 8 Dual Camera Unlocked Phone 64GB - Sapphire Blue - GSM - US Warranty,3.5,25,23,20.7,Germany
B01MDMJGYT,"Motorola MOTO Z PLAY (XT1635) Factory Unlocked Phone - 5.5"" Screen - 32GB - Black (International Version - No Warranty)",5,56,31,27.9,Germany
B01MSC0FK8,Samsung Galaxy S7 G930P 32GB Gold - Sprint (Renewed),5,138,67,60.3,Germany
B01MY2FEAS,Samsung Galaxy Note 5 N920T 32GB - White (T-Mobile),5,14,33,29.7,Germany
B01MZG55UE,"Samsung Galaxy S6, G920P White Pearl 32GB - Sprint (Renewed)",2,53,89,80.1,Germany
B01N064CH1,Motorola Droid MAXX 2 XT1565 16GB Blue - Verizon Unlocked (Renewed),4.1,144,87,78.3,Germany
B01N0O2MFZ,"Motorola XT1601 Moto G4 Play DUAL SIM Black+Lava Cover 2GB/16GB (International Version) , GSM ONLY",1,154,17,15.3,Germany
B01N1Q6V7K,Samsung J3 - Verizon Prepaid,5,52,89,80.1,Germany
B01N2HPFWK,"Google Pixel XL (128GB, 4GB RAM) 5.5"" AMOLED HD Display, Global 4G LTE, US Factory Unlocked Model (GSM, Verizon, Sprint) - Very Silver",1,88,14,12.6,Germany
B01N37MPDI,"Samsung Galaxy Note 5, N920P 64GB - Gold Platinum (Sprint)",4.1,45,26,23.4,Germany
B01N4E0RF1,Samsung Galaxy S7 - Black - 32GB - Verizon (Renewed),1,153,34,30.6,Germany
B01N4IHGHI,"Apple iPhone 6S, 16GB, Gold - For AT&T (Renewed)",3.5,47,4,3.6,Germany
B01N4R20RS,"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.1,83,7,6.3,Germany
B01N5BOBIF,"Google Pixel, 5"" 32GB (Verizon Wireless) - Black",1,64,44,39.6,Germany
B01N5WQ2P4,Samsung Galaxy Note 4 N910P 32GB Frosted White - Sprint (Renewed),4.1,107,59,53.1,Germany
B01N9I0RWL,"Apple iPhone 6S, 128GB, Rose Gold - For AT&T / T-Mobile (Renewed)",4.1,165,48,43.2,Germany
B01N9R1JA7,Samsung TWSAS120VCP-3 Galaxy J1 Luna 4G LTE Total Wireless Prepaid Smartphone,5,39,37,33.3,Germany
B01N9TM7KG,"Samsung Galaxy S7 Edge, 5.5"" 32GB (Verizon Wireless) - Blue",5,159,30,27,UK
